,#,Fit Score,Spare Score
Dispatcher,57.0,0.4298245614035088,0.47794117647058826
Maintenance Manager,33.0,0.6515151515151515,0.41304347826086957
Retail Manager,1.0,0.0,0.5
Terminal Manager,27.0,0.7901234567901235,0.564625850340136
Transportation Manager,62.0,0.5483870967741935,0.7063492063492064
Wholesale Manager,3.0,0.3333333333333333,0.6885245901639344
